row_id,site,file,class,taxon,v616,candidate,delta,raw_sidecar
BC2026_Train_0018_S22_20211028_234500_50,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9932500123977661,0.9614166021347046,-0.03183341026306152,0.9766104221343994
BC2026_Train_0017_S22_20211026_233000_60,S22,BC2026_Train_0017_S22_20211026_233000,517063,Amphibia,0.8482500314712524,0.8189166784286499,-0.02933335304260254,0.6670999526977539
BC2026_Train_0003_S08_20250607_070007_25,S08,BC2026_Train_0003_S08_20250607_070007,116570,Reptilia,0.9804166555404663,0.9522500038146973,-0.028166651725769043,0.3898046314716339
BC2026_Train_0020_S22_20211104_231500_15,S22,BC2026_Train_0020_S22_20211104_231500,517063,Amphibia,0.8920000195503235,0.8643332719802856,-0.027666747570037842,0.7837205529212952
BC2026_Train_0018_S22_20211028_234500_45,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9909167289733887,0.963416576385498,-0.027500152587890625,0.9855824708938599
BC2026_Train_0018_S22_20211028_234500_15,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9599167108535767,0.9340833425521851,-0.0258333683013916,0.9777483940124512
BC2026_Train_0017_S22_20211026_233000_5,S22,BC2026_Train_0017_S22_20211026_233000,517063,Amphibia,0.8981666564941406,0.8733333349227905,-0.024833321571350098,0.8182304501533508
BC2026_Train_0018_S22_20211028_234500_55,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9920833110809326,0.9674165844917297,-0.02466672658920288,0.9903592467308044
BC2026_Train_0017_S22_20211026_233000_10,S22,BC2026_Train_0017_S22_20211026_233000,517063,Amphibia,0.8603333830833435,0.8358333110809326,-0.02450007200241089,0.7344334721565247
BC2026_Train_0018_S22_20211028_234500_50,S22,BC2026_Train_0018_S22_20211028_234500,22967,Amphibia,0.9322500228881836,0.9109165668487549,-0.02133345603942871,0.9547924399375916
BC2026_Train_0008_S09_20250831_000000_25,S09,BC2026_Train_0008_S09_20250831_000000,516975,Mammalia,0.981166660785675,0.9601666331291199,-0.021000027656555176,0.8998633623123169
BC2026_Train_0018_S22_20211028_234500_35,S22,BC2026_Train_0018_S22_20211028_234500,22967,Amphibia,0.9415000081062317,0.9209999442100525,-0.0205000638961792,0.9697644710540771
BC2026_Train_0013_S13_20220217_233000_30,S13,BC2026_Train_0013_S13_20220217_233000,517063,Amphibia,0.7896667718887329,0.7694999575614929,-0.02016681432723999,0.7027479410171509
BC2026_Train_0012_S03_20220211_233000_15,S03,BC2026_Train_0012_S03_20220211_233000,517063,Amphibia,0.971083402633667,0.9512499570846558,-0.01983344554901123,0.9321408867835999
BC2026_Train_0008_S09_20250831_000000_20,S09,BC2026_Train_0008_S09_20250831_000000,516975,Mammalia,0.9760000109672546,0.9561666250228882,-0.019833385944366455,0.8764868974685669
BC2026_Train_0020_S22_20211104_231500_60,S22,BC2026_Train_0020_S22_20211104_231500,517063,Amphibia,0.8948333263397217,0.8751665949821472,-0.019666731357574463,0.8649053573608398
BC2026_Train_0020_S22_20211104_231500_35,S22,BC2026_Train_0020_S22_20211104_231500,517063,Amphibia,0.8849999904632568,0.8661666512489319,-0.01883333921432495,0.854907751083374
BC2026_Train_0003_S08_20250607_070007_5,S08,BC2026_Train_0003_S08_20250607_070007,47158son17,Insecta,0.9846667647361755,0.965999960899353,-0.01866680383682251,0.9364352226257324
BC2026_Train_0010_S09_20250828_000000_10,S09,BC2026_Train_0010_S09_20250828_000000,516975,Mammalia,0.9470000267028809,0.9284999966621399,-0.018500030040740967,0.911109983921051
BC2026_Train_0018_S22_20211028_234500_40,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9312500357627869,0.9129166007041931,-0.01833343505859375,0.988235592842102
BC2026_Train_0020_S22_20211104_231500_25,S22,BC2026_Train_0020_S22_20211104_231500,517063,Amphibia,0.9114999771118164,0.8931666612625122,-0.0183333158493042,0.8869315385818481
BC2026_Train_0018_S22_20211028_234500_60,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9917500615119934,0.9747499227523804,-0.017000138759613037,0.994633674621582
BC2026_Train_0012_S03_20220211_233000_20,S03,BC2026_Train_0012_S03_20220211_233000,517063,Amphibia,0.9727500677108765,0.9559166431427002,-0.01683342456817627,0.9606114625930786
BC2026_Train_0001_S08_20250606_030007_30,S08,BC2026_Train_0001_S08_20250606_030007,47158son25,Insecta,0.9841667413711548,0.9673333168029785,-0.01683342456817627,0.9842043519020081
BC2026_Train_0004_S08_20250607_070007_45,S08,BC2026_Train_0004_S08_20250607_070007,47158son17,Insecta,0.9518333077430725,0.9356666207313538,-0.01616668701171875,0.8122854232788086
BC2026_Train_0001_S08_20250606_030007_5,S08,BC2026_Train_0001_S08_20250606_030007,47158son25,Insecta,0.9720833897590637,0.9565832614898682,-0.015500128269195557,0.9786738753318787
BC2026_Train_0007_S09_20250829_000000_45,S09,BC2026_Train_0007_S09_20250829_000000,chacha1,Aves,0.9446666836738586,0.9291666746139526,-0.015500009059906006,0.5375214219093323
BC2026_Train_0014_S13_20220228_214500_50,S13,BC2026_Train_0014_S13_20220228_214500,65380,Amphibia,0.971916675567627,0.9565832614898682,-0.015333414077758789,0.9598530530929565
BC2026_Train_0016_S18_20220204_221500_45,S18,BC2026_Train_0016_S18_20220204_221500,22967,Amphibia,0.9289166331291199,0.9135832786560059,-0.015333354473114014,0.9793420433998108
BC2026_Train_0018_S22_20211028_234500_15,S22,BC2026_Train_0018_S22_20211028_234500,22967,Amphibia,0.9051666855812073,0.8901666402816772,-0.01500004529953003,0.9711129665374756
BC2026_Train_0008_S09_20250831_000000_45,S09,BC2026_Train_0008_S09_20250831_000000,516975,Mammalia,0.987500011920929,0.9728332757949829,-0.014666736125946045,0.9383635520935059
BC2026_Train_0019_S22_20211104_200000_40,S22,BC2026_Train_0019_S22_20211104_200000,65380,Amphibia,0.9725833535194397,0.9579166173934937,-0.014666736125946045,0.9660032391548157
BC2026_Train_0004_S08_20250607_070007_15,S08,BC2026_Train_0004_S08_20250607_070007,47158son17,Insecta,0.9486666917800903,0.9341666102409363,-0.014500081539154053,0.8563864231109619
BC2026_Train_0018_S22_20211028_234500_45,S22,BC2026_Train_0018_S22_20211028_234500,22967,Amphibia,0.8858333230018616,0.8713333010673523,-0.014500021934509277,0.958634614944458
BC2026_Train_0004_S08_20250607_070007_25,S08,BC2026_Train_0004_S08_20250607_070007,116570,Reptilia,0.9815833568572998,0.9675832986831665,-0.0140000581741333,0.6109998822212219
BC2026_Train_0012_S03_20220211_233000_5,S03,BC2026_Train_0012_S03_20220211_233000,517063,Amphibia,0.9053333401679993,0.8914999961853027,-0.013833343982696533,0.9241697788238525
BC2026_Train_0018_S22_20211028_234500_20,S22,BC2026_Train_0018_S22_20211028_234500,22973,Amphibia,0.9248332977294922,0.9110000133514404,-0.013833284378051758,0.9909582138061523
BC2026_Train_0020_S22_20211104_231500_55,S22,BC2026_Train_0020_S22_20211104_231500,517063,Amphibia,0.8722500205039978,0.8585833311080933,-0.013666689395904541,0.8759639859199524
BC2026_Train_0007_S09_20250829_000000_10,S09,BC2026_Train_0007_S09_20250829_000000,thlwre1,Aves,0.9865833520889282,0.9730833172798157,-0.013500034809112549,0.5936334133148193
BC2026_Train_0020_S22_20211104_231500_15,S22,BC2026_Train_0020_S22_20211104_231500,trsowl,Aves,0.9916666746139526,0.9789999723434448,-0.012666702270507812,0.9232662916183472
BC2026_Train_0019_S22_20211104_200000_35,S22,BC2026_Train_0019_S22_20211104_200000,65380,Amphibia,0.9388333559036255,0.9261666536331177,-0.012666702270507812,0.9596455097198486
BC2026_Train_0004_S08_20250607_070007_30,S08,BC2026_Train_0004_S08_20250607_070007,47158son17,Insecta,0.921500027179718,0.909000039100647,-0.012499988079071045,0.8539307713508606
BC2026_Train_0012_S03_20220211_233000_35,S03,BC2026_Train_0012_S03_20220211_233000,517063,Amphibia,0.9729166626930237,0.9605832695960999,-0.012333393096923828,0.972348153591156
BC2026_Train_0014_S13_20220228_214500_30,S13,BC2026_Train_0014_S13_20220228_214500,65380,Amphibia,0.972083330154419,0.9599165916442871,-0.012166738510131836,0.9762478470802307
BC2026_Train_0015_S18_20211016_011500_60,S18,BC2026_Train_0015_S18_20211016_011500,517063,Amphibia,0.9065000414848328,0.8943333625793457,-0.01216667890548706,0.9239144325256348
BC2026_Train_0007_S09_20250829_000000_40,S09,BC2026_Train_0007_S09_20250829_000000,chacha1,Aves,0.9229999780654907,0.9110000133514404,-0.011999964714050293,0.44872552156448364
BC2026_Train_0001_S08_20250606_030007_40,S08,BC2026_Train_0001_S08_20250606_030007,47158son25,Insecta,0.9956666231155396,0.9838333129882812,-0.0118333101272583,0.986717700958252
BC2026_Train_0001_S08_20250606_030007_10,S08,BC2026_Train_0001_S08_20250606_030007,47158son25,Insecta,0.9906667470932007,0.9789999723434448,-0.01166677474975586,0.9861429333686829
BC2026_Train_0004_S08_20250607_070007_20,S08,BC2026_Train_0004_S08_20250607_070007,47158son17,Insecta,0.9475000500679016,0.9359999895095825,-0.011500060558319092,0.9221768975257874
BC2026_Train_0013_S13_20220217_233000_15,S13,BC2026_Train_0013_S13_20220217_233000,1491113,Amphibia,0.9798333644866943,0.968500018119812,-0.011333346366882324,0.9954043626785278
BC2026_Train_0001_S08_20250606_030007_25,S08,BC2026_Train_0001_S08_20250606_030007,47158son25,Insecta,0.9790000319480896,0.9678333401679993,-0.011166691780090332,0.9858520030975342
BC2026_Train_0019_S22_20211104_200000_15,S22,BC2026_Train_0019_S22_20211104_200000,65380,Amphibia,0.9225000739097595,0.9114999771118164,-0.011000096797943115,0.9531657695770264
